sample_id,ticker,sector,cold_start_weeks,model,augmentation_method,augmentation_ratio,n_synthetic_points,MAE,RMSE,MAPE
AAPL_w04_s0013,AAPL,technology,4,moving_average,statistical,0.5,10,3.7617529298186168,4.127252369963449,2.64001797704747
AAPL_w04_s0013,AAPL,technology,4,linear_trend,statistical,0.5,10,17.178193598088523,18.27973651526742,11.986137542347741
AAPL_w04_s0013,AAPL,technology,4,naive,statistical,1.0,20,13.486672395315841,13.602906845171477,9.428037559938518
AAPL_w04_s0013,AAPL,technology,4,moving_average,statistical,1.0,20,12.103052682182087,12.232441561990546,8.462368551271004
AAPL_w04_s0013,AAPL,technology,4,linear_trend,statistical,1.0,20,25.621717688717467,26.38223180695988,17.879009012364886
AAPL_w04_s0013,AAPL,technology,4,naive,statistical,2.0,40,31.838698798462723,31.888108810637707,22.236458093083744
AAPL_w04_s0013,AAPL,technology,4,moving_average,statistical,2.0,40,30.21783841857296,30.26989430161299,21.105211825500906
AAPL_w04_s0013,AAPL,technology,4,linear_trend,statistical,2.0,40,44.0262935256463,44.50845883373967,30.72340037387295
AAPL_w04_s0014,AAPL,technology,4,naive,statistical,0.5,10,3.103749881737664,3.9308866415525077,2.117587692575674
AAPL_w04_s0014,AAPL,technology,4,moving_average,statistical,0.5,10,2.990142751216305,3.8276546659021404,2.044630519945983
AAPL_w04_s0014,AAPL,technology,4,linear_trend,statistical,0.5,10,3.155321582518261,3.995340874922477,2.167608383866501
AAPL_w04_s0014,AAPL,technology,4,naive,statistical,1.0,20,3.133084633282749,3.963590022540268,2.136426127475863
AAPL_w04_s0014,AAPL,technology,4,moving_average,statistical,1.0,20,3.056670138957411,3.789508417842069,2.109805452044617
AAPL_w04_s0014,AAPL,technology,4,linear_trend,statistical,1.0,20,4.1483647355999596,5.018723374160829,2.891773749913266
AAPL_w04_s0014,AAPL,technology,4,naive,statistical,2.0,40,3.5223489818969376,4.122048181008351,2.4450146849767993
AAPL_w04_s0014,AAPL,technology,4,moving_average,statistical,2.0,40,3.8745900094734997,4.52890173024783,2.69811084409416
AAPL_w04_s0014,AAPL,technology,4,linear_trend,statistical,2.0,40,5.073673448121527,6.2458996224232,3.5516605037571862
AAPL_w04_s0015,AAPL,technology,4,naive,statistical,0.5,10,9.806428555697462,10.549345294298625,6.787621573907776
AAPL_w04_s0015,AAPL,technology,4,moving_average,statistical,0.5,10,9.27422166885179,10.056531841710742,6.415204604268299
AAPL_w04_s0015,AAPL,technology,4,linear_trend,statistical,0.5,10,20.518223486202366,22.428804818842398,14.189174051012074
AAPL_w04_s0015,AAPL,technology,4,naive,statistical,1.0,20,19.48374849454566,19.86804219139501,13.559420765041926
AAPL_w04_s0015,AAPL,technology,4,moving_average,statistical,1.0,20,16.411224097416888,16.865672874094845,11.409391794346039
AAPL_w04_s0015,AAPL,technology,4,linear_trend,statistical,1.0,20,27.71966143591819,29.212827246856207,19.22556625682263
AAPL_w04_s0015,AAPL,technology,4,naive,statistical,2.0,40,29.014675526802826,29.274118962762877,20.22878008928056
AAPL_w04_s0015,AAPL,technology,4,moving_average,statistical,2.0,40,27.20279184152525,27.47934731928134,18.960896775312932
AAPL_w04_s0015,AAPL,technology,4,linear_trend,statistical,2.0,40,38.687718187502085,39.688268085175054,26.907076658268377
AAPL_w04_s0016,AAPL,technology,4,naive,statistical,0.5,10,8.202826248753485,9.929647495624017,5.072721685378168
AAPL_w04_s0016,AAPL,technology,4,moving_average,statistical,0.5,10,9.470157841487733,11.367191314847442,5.779632285506509
AAPL_w04_s0016,AAPL,technology,4,linear_trend,statistical,0.5,10,5.010436899431688,6.164015577530752,3.181381237820536
AAPL_w04_s0016,AAPL,technology,4,naive,statistical,1.0,20,7.941263108189555,9.465514719199755,5.027921898134489
AAPL_w04_s0016,AAPL,technology,4,moving_average,statistical,1.0,20,7.850573590643364,9.590516201297037,4.891165600782249
AAPL_w04_s0016,AAPL,technology,4,linear_trend,statistical,1.0,20,7.222868425481485,8.491032993855784,4.699074024451662
AAPL_w04_s0016,AAPL,technology,4,naive,statistical,2.0,40,10.45442607369246,12.63569150898623,6.826287171473664
AAPL_w04_s0016,AAPL,technology,4,moving_average,statistical,2.0,40,10.061460737307653,12.04692521945585,6.5550463062577125
AAPL_w04_s0016,AAPL,technology,4,linear_trend,statistical,2.0,40,15.422917825577615,16.556101978313652,9.928864576203557
